file,duration,peak,rms,energy,db,zcr,attack_time,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,spectral_flux,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tempo,label
0_10_mic1.wav,3.0,0.280059814453125,0.026005025508840842,32.46054488234222,-31.698854317284866,0.03511469414893617,0.64425,2568.1990573519324,5065.076462765957,4572.937558047546,0.0025428179120573777,1.066486164836857,-385.65427554298225,163.1344445785701,14.968828955540685,6.88840155083305,3.24320711649235,11.832100883658455,4.370615186470083,-7.500331842005473,-2.3329415457724676,3.4052272945852984,3.1148971446344507,0.6720697558337088,1.1485324028014174,9.068121996590582,7.914930050995142,11.508594072710281,12.809921597431106,18.356282396967956,15.89459616804555,17.01071076925829,0.7838402928229785,0.7396043661088929,0.8045679373428478,0.81593210726539,0.776852894501651,0.6973736997633343,0.6901221966522078,0.678876193401082,0.7048917583411606,0.7398078475760025,0.7223522440789372,0.7665802591831016,[152.02702703],to_label
0_10_mic2.wav,3.0,0.33624267578125,0.03192863346976037,48.9330064918225,-29.916393372905553,0.029146235039893616,0.5980208333333333,2140.7920491755567,3236.120345744681,4165.657721672138,0.0013375388035839018,1.0811391915232464,-375.64068389480155,175.25579311120939,17.50211710735676,7.277205729666519,4.90500309053752,11.827781055373817,6.1354905733513965,-6.753506652523077,-2.178350594287538,4.269228221580172,4.7208510353049045,1.0126342381686597,1.4311585055050875,9.210735727456807,8.407219410159513,11.830604142684225,13.303099830741726,18.308658118874867,14.807613303474136,16.601659360795896,0.7123817154364388,0.7480033022465837,0.8003837665073973,0.8105383281575292,0.7060556386308031,0.6627652713936644,0.6611754217193883,0.6582509697448602,0.6953358269586039,0.7098888632908793,0.6781747777231583,0.7157192626755223,[148.02631579],to_label
0_10_mic3.wav,3.0,0.275299072265625,0.024064556495103806,27.796938206690054,-32.37244275708105,0.03692064217641844,0.6611875,2576.15330885473,4947.140957446809,4499.862733947561,0.0029140844911374345,1.0170722014742266,-378.78450757133885,164.09660543062628,7.786090287651147,7.253738318823436,2.608909684339228,10.101737287983788,7.275401969761592,-5.505439876149386,-4.349977101743527,3.057150903396113,2.9719170545303064,0.9921233080409726,2.062486694876341,8.771416605767138,8.07282102816318,11.38852746044258,13.063321756897452,17.77238848087246,14.433153516400541,16.654804623730413,0.7514421161617155,0.7547405567370159,0.8171514101755323,0.8442257520006178,0.7915985161276362,0.6991087704994037,0.685730169598484,0.6684101865930774,0.6797860350267357,0.6870298691745155,0.6903193954942184,0.7302973681934963,[102.27272727],to_label
0_10_mic4.wav,3.0,0.3380126953125,0.031805526944535964,48.55639412254095,-29.949948095040746,0.028337627437943262,0.6251041666666667,2081.838166703954,3032.0811170212764,4063.768259320557,0.0014128839395739954,1.0620644851706758,-367.43747933819856,178.3839267539021,17.953664869023317,5.586943424918703,-1.0572414048063603,8.34128984705056,7.993824797709298,-1.5981159897252766,-2.3902631288709557,-0.8309360244751831,-0.840862464452987,2.166071416131055,4.833430605106935,8.975447976034012,8.163511418094574,11.691283836406878,12.336102023656041,19.333681401909313,15.498297387769798,16.645258423618067,0.7120172807924425,0.7487289186480978,0.7397179576483613,0.8179502374520825,0.7654341241430723,0.7256917491904448,0.7268684066438637,0.7806134051607451,0.7685002448876886,0.65937700673337,0.6498999409296918,0.6896093138674678,[152.02702703],to_label
0_11_mic1.wav,3.0,0.29107666015625,0.03493640397485192,58.58651148931434,-29.13443598466714,0.04000789561170213,0.000125,2308.892844026512,4048.4541223404253,3939.2437277969016,0.0018851742102820792,1.013203315901658,-344.7870093272619,176.9430108175325,-4.191230403542693,3.176174212297208,1.1348382806052466,11.071801679689942,3.1740194109706166,-12.702683755780908,-2.0559699296944633,5.96094758417224,3.2496573519144802,-2.5933678579100587,-0.5983405511995802,8.78118030564671,8.182744895604156,10.262038582538302,13.072786035354772,18.943939064954705,15.42099315196407,18.2028356508589,0.7746566957424655,0.8807844617424897,0.8745727674844379,0.7853118553983406,0.6985245604987113,0.6643237138496422,0.685090471116524,0.6876185963426075,0.70946499891725,0.7317452364387915,0.6758568213921947,0.7449353596559355,[119.68085106],to_label
0_11_mic2.wav,3.0,0.338165283203125,0.041218256706023665,81.54934492241591,-27.69820760607559,0.034872285017730494,0.0018125,2009.0003000636905,3020.6117021276596,3638.659322367825,0.001125173929484729,1.0288600595639343,-334.4974377863458,187.47026195202432,-2.03403987542489,5.2118457790114565,3.4514448822882002,11.257130805569783,5.801984417456481,-11.185119303514934,-1.826456047792792,6.4717930375329695,4.749010817915366,-2.085764499262835,-1.3822136269283707,8.903805949199041,8.341637222020182,10.697491794846309,13.304478593457675,18.36044230323385,14.741149646953541,17.825031997975344,0.7071095106620957,0.8348782665261252,0.8971557450385184,0.7859443108956653,0.7153224562205012,0.6996544920960245,0.7017914835715278,0.6935314074062574,0.7157766750198363,0.7619697032207906,0.7183348903350655,0.7065549084506564,[96.98275862],to_label
0_11_mic3.wav,3.0,0.30377197265625,0.033321943601178045,53.29689241728435,-29.545393499996923,0.04334275265957447,0.0315625,2419.1218813614323,4401.512632978724,3929.719496237209,0.002344418585037752,1.0553020168656504,-336.3142419991635,174.74309121243803,-12.904696830289744,6.27533422654778,-1.5931771855610957,8.280861906706722,6.576092954412865,-11.013539237747231,-3.203145094998475,5.416333305040183,3.0496096119973792,-1.1602144651492798,0.532956345179015,8.837436099736157,8.356475710557953,9.953858873288766,12.707736204349377,18.059068814986702,14.307769926644628,18.46446440257899,0.7300234135181052,0.8422131125356572,0.923516624989292,0.811790405224821,0.7533364262115269,0.7273485326674325,0.7068345741782032,0.6839025351303509,0.6897639696650402,0.7167476434394245,0.7012183473508877,0.7005547768151876,[244.56521739],to_label
0_11_mic4.wav,3.0,0.362091064453125,0.04208637039578502,85.02060350837807,-27.51717053926525,0.03293993794326241,0.004895833333333334,1970.6883568267217,2942.81914893617,3589.8024238406,0.001286726545723739,1.0058039162124206,-327.05672941520066,189.2722854449864,-0.7979182665125519,3.8860405743906745,-4.225627823391839,6.97584501655838,6.550789373643329,-5.052807096958122,-0.8345344981333515,0.5899493316752012,-0.400203170917201,-0.4262634005797243,2.414649874530332,8.734632714500853,7.72473686417228,10.862057690272513,12.525985751069232,18.52037889595314,15.599620524421699,17.928833879291215,0.8175378029197842,0.863544622461694,0.7749157133662296,0.796279482633087,0.7752431938648807,0.7510802307799774,0.7906991492758401,0.8119521324685834,0.7741278640926207,0.6641855131136309,0.6587035326221348,0.7452659365285608,[127.84090909],to_label
0_12_mic1.wav,3.0,0.29925537109375,0.026545374779925343,33.823532265921436,-31.520222773841084,0.0357830507535461,1.7584583333333332,2393.130826751245,4243.683510638298,4284.643938178746,0.0021580495580158384,1.0055692700532777,-372.9373931772583,171.7426642297,8.658138295055396,0.7355000411053002,3.1292700453581404,12.963051254871068,3.319401610397206,-9.700681102909426,-2.171220046570057,6.6052681614008275,4.658550051876944,-1.1588843519983707,-0.2298186100295623,9.010550452805186,8.35107039673862,10.862720065897639,12.87421457018097,18.80966107815274,15.47644657362924,16.964091714319725,0.7435197654226701,0.8307156111592828,0.8526832086147378,0.791815655501504,0.6794847478303381,0.6773056163762126,0.6744983236245152,0.7139993149939925,0.7743367168337809,0.7143034313265343,0.7317011721639208,0.7397485296663305,[85.22727273],to_label
0_12_mic2.wav,3.0,0.3592529296875,0.032147424084721946,49.60593001358211,-29.857076411358495,0.028531554742907802,1.7326458333333334,1995.6526396840197,2811.1702127659573,3913.251964317008,0.001164370958261838,1.0015539251547116,-363.6646193096681,182.99969307337415,12.245858499163676,2.4663112563805596,5.540061579729496,13.23603759796008,6.1833174788159395,-7.250851916535163,-1.702274206391113,7.135901338960671,5.593573936118398,-1.2671369997889204,-0.3144823701723936,8.927097487451976,8.27268571918607,11.334694538933368,13.65109371509137,18.567443964826808,14.796536444664726,16.468318885595753,0.6724749047766336,0.7876039956261793,0.8285104344840739,0.831980571140374,0.7542609118442789,0.664890693185459,0.6718678487634658,0.6928757498596799,0.7616858902849206,0.76975855960287,0.7035629432119569,0.6822536588814003,[148.02631579],to_label
