session_id,tdoa_12,tdoa_13,tdoa_14,tdoa_23,tdoa_24,tdoa_34,onset_diff_12,onset_diff_13,onset_diff_14,intensity_ratio_12,intensity_ratio_13,intensity_ratio_14,intensity_ratio_24,energy_ratio_1,energy_ratio_2,energy_ratio_3,energy_ratio_4,first_mic,loudest_mic,estimated_direction_deg,duration,rms,db,spectral_centroid,spectral_rolloff,label
0_10,0.0463125,-0.017041666666666667,0.0200625,-0.06333333333333334,-0.026291666666666668,0.0375,-0.003416666666666667,-0.03952083333333334,-0.007291666666666667,0.8329097839873577,1.0172929830358792,0.8285482123485781,0.9947634525069885,0.20577614036025013,0.3101995129350935,0.17621228105497913,0.3078120656496709,1,4,266.7068501695005,3.0,0.0260050255088408,-31.698854317284862,2568.1990573519324,5065.076462765957,0
0_11,0.014354166666666666,-0.045,0.013520833333333333,-0.0601875,-0.0001875,-2.337625,4.1666666666666665e-05,-0.025416666666666667,2.0833333333333333e-05,0.8607526396509155,0.9582077556729558,0.8038769490074723,0.9339233038322291,0.21039973481205138,0.2928653730970528,0.19140330676538625,0.30533158532550586,2,4,356.9693007240004,3.0,0.0349364039748519,-29.13443598466714,2308.892844026512,4048.454122340425,0
0_12,0.026895833333333334,-0.0388125,0.016020833333333335,-0.06566666666666666,-0.010958333333333334,0.0548125,0.0,-0.0007291666666666666,0.0002916666666666667,0.8329935440003997,1.0408661500866037,0.8771804275848696,1.053045889611369,0.20484234387302383,0.30042382605383144,0.1806125856678468,0.314121244405292,4,2,316.3396945163137,3.0,0.0265453747799253,-31.520222773841084,2393.130826751245,4243.683510638298,0
0_13,0.008,-0.016541666666666666,0.0221875,-0.03172916666666667,0.01225,0.0436875,-0.0013333333333333333,-0.0013124999999999999,0.0004166666666666667,0.8107913669040857,0.9744920017259046,0.8102084831032936,0.9992810927360942,0.19202467721747588,0.310671088604011,0.17729953211579386,0.320004702062714,4,4,101.25329212294797,3.0,0.0272189289990276,-31.302579344982018,2535.5930547889147,5048.454122340426,0
0_14,0.028833333333333332,0.0016458333333333333,0.014833333333333334,-0.026791666666666665,-0.014104166666666666,0.01275,0.06289583333333332,0.0024791666666666434,0.15647916666666667,0.7969142758060057,1.0517044154616264,0.8969756097532301,1.125560975606158,0.2186091623728216,0.30596892658594166,0.16989362410068684,0.30552828694054496,4,2,239.5214155314905,3.0,0.0303568269546797,-30.354872499836887,2530.835599092053,5029.172207446809,0
0_15,0.036375,-0.007395833333333333,0.011916666666666667,-0.049958333333333334,-0.024583333333333332,0.0270625,0.0,-6.25e-05,-4.1666666666666665e-05,0.7876144788464189,0.9691960931596267,0.8290488431851666,1.0526074182854857,0.20849691241828058,0.28347573449171354,0.18485311940789542,0.32317423368210646,1,2,264.71977597877327,3.0,0.0334999099018819,-29.499127219701208,2324.917236610894,4363.696808510638,0
0_16,0.05522916666666667,-0.016854166666666667,0.04522916666666667,-0.07220833333333333,-0.01,0.062125,-0.00020833333333333335,-0.0013333333333333333,-0.0017291666666666666,0.8244865297388623,1.0410912765202522,0.933460841551179,1.132172337423284,0.2082743092170132,0.3016316159166954,0.18223876163444572,0.30785531323183946,1,2,215.17793505480756,3.0,0.0262332737124172,-31.62295018746355,2422.4430646406577,4141.954787234043,0
0_17,0.0559375,-0.033,0.043854166666666666,-0.096125,-0.019854166666666666,0.07629166666666666,-0.03802083333333333,-0.7908958333333332,0.02397916666666667,0.8021464427881008,0.9266146770615514,0.9005927509445623,1.1227285978003314,0.19787150703920417,0.30557659609645293,0.17877938762791593,0.31777250923642075,4,2,245.81334311812543,3.0,0.0257473796132949,-31.78533927572567,2500.51930608514,4644.946808510638,0
0_18,0.057916666666666665,-0.06847916666666666,0.0299375,-0.12672916666666667,-0.028208333333333332,0.096125,-0.0063124999999999995,-0.0010416666666666664,0.00020833333333333337,0.7961229392737895,1.0201698513764939,0.9096932979903627,1.1426542976109957,0.21438482808139814,0.3310737029788254,0.15455287145357796,0.2999885974861945,4,2,304.55738082400387,3.0,0.0327513433261749,-29.69541764619819,2368.578764514045,4140.29255319149,0
0_19,0.04775,-0.1416875,-0.03333333333333333,-0.1815,-0.06122916666666667,0.09770833333333333,-0.000125,6.25e-05,4.166666666666667e-05,0.8903796745618826,0.960973605830185,0.9113665140713098,1.0235706632868862,0.19912503459347158,0.2779083062035465,0.21341395309485356,0.3095527061081239,3,2,317.18315636957897,3.0,0.0305948801733367,-30.287024867798188,2269.108132224496,3707.945478723405,0
